,last,high,low,lowestAsk,highestBid,percentChange,baseVolume,quoteVolume,time,second,minute,hour,week_day,week_number,month
17726,0.000187491629243916,0.0002,0.00017600000000001,0.000189327717654185,0.000183046732843774,-4.82658414,221.488681132393175254,1183540.451863255124806335,1552510800.0,0,0,0,3,3,3
21522,0.000200396181925688,0.0002022999999,0.000195,0.000200142438191183,0.000196968558544996,0.85822739,52.975743761659826416,266388.947381760086432167,1552683600.0,0,0,0,5,3,3
108974,0.000199343893307921,0.00020226750880724,0.000193075099305933,0.000198822738111421,0.00019518035190322,0.93361686,35.032861807953597601,176528.521019847653734146,1552770000.0,0,0,0,6,3,3
196361,0.000201281624237438,0.000201926592297614,0.000195619308426315,0.00020184450754641,0.000198166994178903,0.76714115,76.879271532881909083,382054.064088906771196013,1552856400.0,0,0,0,0,4,3
21573,0.000208252087775492,0.000208252087775492,0.000201917895166429,0.000208225016628386,0.000204413502657924,3.13701398,37.477859201257820408,182930.950460944562546595,1552942800.0,0,0,0,1,4,3
105883,0.00019627,0.0002089,0.0001962500001,0.000199837282503113,0.0001963,-5.73950785,71.227935755455013447,353319.677510356968858575,1553029200.0,0,0,0,2,4,3
191755,0.0001975871661039,0.000208699999998147,0.00019731211,0.000201414901930831,0.0001973330692624,0.13940153,50.821287547585897586,251929.237972826430771912,1553115600.0,0,0,0,3,4,3
278138,0.000186031796058748,0.000200928310756355,0.00008376,0.000186430832275878,0.000184014525670872,-6.98410197,693.987954749864462979,3908284.998100308350296106,1553202000.0,0,0,0,4,4,3
365056,0.000193994765119508,0.0002015,0.000181799944468762,0.000200636750903198,0.000195117789234341,4.8620352,415.89136774540941885,2198055.756038088332100288,1553288400.0,0,0,0,5,4,3
451964,0.000199282736922011,0.0002025,0.000189163443363206,0.000199792190103027,0.000195485957638574,3.29296186,46.626396572891019163,236061.499779599664389846,1553374800.0,0,0,0,6,4,3
7538,0.000199979996,0.000213,0.000194486414807742,0.00020745589374472,0.000199979996,-0.50746468,342.07307661531633916,1624727.537252147256213432,1553461200.0,0,0,0,0,5,3
94800,0.000193978830528634,0.000207679187004143,0.00019001,0.000194020341921979,0.000190248678609026,-6.0991058,92.283792987655492927,466228.059391301027505876,1553547600.0,0,0,0,1,5,3
