,last,high,low,lowestAsk,highestBid,percentChange,baseVolume,quoteVolume,time,second,minute,hour,week_day,week_number,month
3156,0.00018732000000037,0.0002,0.00018732000000037,0.000193972130586158,0.000187660000001199,-4.75706238,127.334751275108447419,656725.885812278352536893,1552496400.0,0,0,20,2,3,3
6801,0.000193879866956145,0.0002,0.00018732000000037,0.000194368938744486,0.000187714429021882,-1.42169509,127.94199554832159393,659857.950439445145452249,1552500000.0,0,0,21,2,3,3
10425,0.000187869029374124,0.0002,0.00018732000000037,0.000193462013521124,0.000188098381727269,-4.79046259,103.665250425291622219,535305.48436814489969794,1552503600.0,0,0,22,2,3,3
14076,0.000191300556962982,0.0002,0.00017600000000001,0.000183414628202531,0.000178,-2.72523291,223.313318667920141446,1192026.809258523983537953,1552507200.0,0,0,23,2,3,3
17724,0.000187491629243916,0.0002,0.00017600000000001,0.000189327717654185,0.000183046732843774,-4.82658414,221.488681132393175254,1183540.451863255124806335,1552510800.0,0,0,0,3,3,3
21379,0.00019229053934868,0.0002,0.00017600000000001,0.00019243558,0.000188296845482077,-3.78547757,228.381095546865183753,1219891.533219436710743142,1552514400.0,0,0,1,3,3,3
25022,0.0001923458813,0.0002,0.00017600000000001,0.000199554296420416,0.000192021586263183,-3.82705935,233.186297578843988978,1244614.778105273310028339,1552518000.0,0,0,2,3,3,3
28679,0.000198733617033648,0.0002,0.00017600000000001,0.000198720249394152,0.000192041589,-0.63319148,233.282790041339144283,1245105.205090493435814315,1552521600.0,0,0,3,3,3,3
35984,0.000198733617033648,0.0002,0.00017600000000001,0.000198548727255096,0.000192051589002314,-0.63319148,232.739523437691048915,1242359.631000253037857203,1552528800.0,0,0,5,3,3,3
39637,0.000198733617033648,0.0002,0.00017600000000001,0.00019834767662011,0.000192051589002314,-0.63319148,232.739523437691048915,1242359.631000253037857203,1552532400.0,0,0,6,3,3,3
43281,0.000199459899999998,0.0002,0.00017600000000001,0.0001994599,0.000194675871660441,-0.27005,244.288105621423778022,1300421.339481446864019717,1552536000.0,0,0,7,3,3,3
46936,0.000193451475945924,0.0002,0.00017600000000001,0.000199244203532543,0.000194082853819227,-3.27426203,244.609398469507993782,1302082.184127439786906521,1552539600.0,0,0,8,3,3,3
50586,0.000193,0.0002,0.00017600000000001,0.0001993001,0.000193048602930557,-2.03045685,248.82318555329262852,1323859.592478331755484035,1552543200.0,0,0,9,3,3,3
54221,0.000193,0.0002,0.00017600000000001,0.000198352240274249,0.0001941,-3.5,248.644520609403172387,1322952.663829146698967517,1552546800.0,0,0,10,3,3,3
57713,0.0001941,0.0002,0.00017600000000001,0.000198989739877567,0.00019038374777339,-2.95,248.795520609403172386,1323730.613339708265170505,1552550400.0,0,0,11,3,3,3
59957,0.0001941,0.0002,0.00017600000000001,0.000197226694563678,0.000190594696508096,-2.95,248.795520609403172386,1323730.613339708265170505,1552554000.0,0,0,12,3,3,3
3069,0.000192428476126132,0.000199849991,0.00017600000000001,0.000196555286053456,0.000192903286666956,-0.74860317,173.169318643218867404,930888.584582076559482155,1552582800.0,0,0,20,3,3,3
3281,0.000199,0.0002022999999,0.000192055824445763,0.000201646652641361,0.000199,3.0412671,55.134219405867761701,277936.431657028948563317,1552665600.0,0,0,19,4,3,3
6929,0.000196862228311014,0.0002022999999,0.000192055824445763,0.000201748663047213,0.000196862228311014,1.93433894,62.228302527593564815,313822.693176819403822638,1552669200.0,0,0,20,4,3,3
10569,0.000200396181925688,0.0002022999999,0.000195,0.000201014050946071,0.000196970528230581,2.21166068,53.831985612676312189,270732.65181567758566456,1552672800.0,0,0,21,4,3,3
14208,0.000200396181925688,0.0002022999999,0.000195,0.000200548636716162,0.000196968558544996,2.21166068,53.831985612676312189,270732.65181567758566456,1552676400.0,0,0,22,4,3,3
17869,0.000200396181925688,0.0002022999999,0.000195,0.000200200074114634,0.000196968558544996,1.06339621,53.44197214259283814,268740.118141700231792965,1552680000.0,0,0,23,4,3,3
21518,0.000200396181925688,0.0002022999999,0.000195,0.000200142438191183,0.000196968558544996,0.85822739,52.975743761659826416,266388.947381760086432167,1552683600.0,0,0,0,5,3,3
25170,0.000200396181925688,0.0002022999999,0.000195,0.000199470686419199,0.0001975,1.65493248,43.214407265023366365,217458.319996263752799593,1552687200.0,0,0,1,5,3,3
28815,0.0001975,0.0002022999999,0.000195,0.000199930011898691,0.0001981,0.087124,43.69418608945628329,219881.380256066563745428,1552690800.0,0,0,2,5,3,3
32469,0.0001985,0.0002022999999,0.000196842544056608,0.0002,0.0001985,0.44522641,33.109510314541653962,165673.49000027263423885,1552694400.0,0,0,3,5,3,3
36120,0.000202146112893078,0.0002022999999,0.000196842544056608,0.00020184938362036,0.000199,2.29023717,34.64121040492393654,173295.808931773945567129,1552698000.0,0,0,4,5,3,3
39718,0.000202146112893078,0.0002022999999,0.000196842544056608,0.000201293093294227,0.000199,0.66536173,25.167218714496000859,125657.252270063590652348,1552701600.0,0,0,5,5,3,3
43369,0.000201675060268879,0.00020225,0.000196842544056608,0.000201471466643531,0.000199,-0.16086125,25.682777606038843018,128232.375579624414560785,1552705200.0,0,0,6,5,3,3
47025,0.0002022,0.00020225,0.000196842544056608,0.000202179780000048,0.0001990199,0.0990099,26.046008073653772087,130032.375579624414556099,1552708800.0,0,0,7,5,3,3
50683,0.0001990199,0.00020225,0.000196842544056608,0.0002022,0.0001990199,0.30169186,26.95411138700423869,134530.932151232760336942,1552712400.0,0,0,8,5,3,3
