,last,high,low,lowestAsk,highestBid,percentChange,baseVolume,quoteVolume,time,second,minute,hour,week_day,week_number,month
52,0.00018732000000037,0.0002,0.00018732000000037,0.000194475204327687,0.0001874,-4.75706238,127.334751275108447419,656725.885812278352536893,1552493340.0,0,9,19,2,3,3
112,0.00018732000000037,0.0002,0.00018732000000037,0.000194475204327687,0.0001874,-4.75706238,127.334751275108447419,656725.885812278352536893,1552493400.0,0,10,19,2,3,3
173,0.00018732000000037,0.0002,0.00018732000000037,0.000194475204327687,0.0001874,-4.75706238,127.334751275108447419,656725.885812278352536893,1552493460.0,0,11,19,2,3,3
235,0.00018732000000037,0.0002,0.00018732000000037,0.000194420247033879,0.000187510000002055,-4.75706238,127.334751275108447419,656725.885812278352536893,1552493520.0,0,12,19,2,3,3
296,0.00018732000000037,0.0002,0.00018732000000037,0.000194409553246945,0.00018765,-4.75706238,127.334751275108447419,656725.885812278352536893,1552493580.0,0,13,19,2,3,3
357,0.00018732000000037,0.0002,0.00018732000000037,0.000194409553246945,0.00018765,-4.75706238,127.334751275108447419,656725.885812278352536893,1552493640.0,0,14,19,2,3,3
417,0.00018732000000037,0.0002,0.00018732000000037,0.000194390987148769,0.00018765,-4.75706238,127.334751275108447419,656725.885812278352536893,1552493700.0,0,15,19,2,3,3
478,0.00018732000000037,0.0002,0.00018732000000037,0.000194380560809802,0.00018765,-4.75706238,127.334751275108447419,656725.885812278352536893,1552493760.0,0,16,19,2,3,3
539,0.00018732000000037,0.0002,0.00018732000000037,0.000194380560809802,0.00018765,-4.75706238,127.334751275108447419,656725.885812278352536893,1552493820.0,0,17,19,2,3,3
599,0.00018732000000037,0.0002,0.00018732000000037,0.000194360987330691,0.00018765,-4.75706238,127.334751275108447419,656725.885812278352536893,1552493880.0,0,18,19,2,3,3
661,0.00018732000000037,0.0002,0.00018732000000037,0.000194352815015514,0.00018765,-4.75706238,127.334751275108447419,656725.885812278352536893,1552493940.0,0,19,19,2,3,3
721,0.00018732000000037,0.0002,0.00018732000000037,0.000194341903613483,0.00018765,-4.75706238,127.334751275108447419,656725.885812278352536893,1552494000.0,0,20,19,2,3,3
781,0.00018732000000037,0.0002,0.00018732000000037,0.000194341903613483,0.00018765,-4.75706238,127.334751275108447419,656725.885812278352536893,1552494060.0,0,21,19,2,3,3
842,0.00018732000000037,0.0002,0.00018732000000037,0.000194321472691348,0.000187660000001199,-4.75706238,127.334751275108447419,656725.885812278352536893,1552494120.0,0,22,19,2,3,3
904,0.00018732000000037,0.0002,0.00018732000000037,0.000194311000827152,0.000187660000001199,-4.75706238,127.334751275108447419,656725.885812278352536893,1552494180.0,0,23,19,2,3,3
964,0.00018732000000037,0.0002,0.00018732000000037,0.00019430261660689,0.000187660000001199,-4.75706238,127.334751275108447419,656725.885812278352536893,1552494240.0,0,24,19,2,3,3
1025,0.00018732000000037,0.0002,0.00018732000000037,0.000194291582724149,0.000187660000001199,-4.75706238,127.334751275108447419,656725.885812278352536893,1552494300.0,0,25,19,2,3,3
1085,0.00018732000000037,0.0002,0.00018732000000037,0.000194280576372313,0.000187660000001199,-4.75706238,127.334751275108447419,656725.885812278352536893,1552494360.0,0,26,19,2,3,3
1147,0.00018732000000037,0.0002,0.00018732000000037,0.000194273283046495,0.000187660000001199,-4.75706238,127.334751275108447419,656725.885812278352536893,1552494420.0,0,27,19,2,3,3
1208,0.00018732000000037,0.0002,0.00018732000000037,0.000194273283046495,0.000187660000001199,-4.75706238,127.334751275108447419,656725.885812278352536893,1552494480.0,0,28,19,2,3,3
